No,Message,Emotion,Feeling,,
1047," #42:  Sheila Safarzadeh ed ""  jrezaian: Statement from  Reuters:“We are enormously pleased that #Myanmar has released our courageous repoers, #WaLone and #KyawSo…""",pleased,happy,"  jrezaian: Statement from  Reuters:“We are enormously pleased that #Myanmar has released our courageous repoers, #WaLone and #KyawSo…",pleased
1048," #43:  JoeJoe ed ""  hettyjohnston: It was an honour today speaking at the Mayor's Community Charity Breakfast in Kingaroy. I aim to be the voice for childr…""",pleased,happy,  hettyjohnston: It was an honour today speaking at the Mayor's Community Charity Breakfast in Kingaroy. I aim to be the voice for childr…,pleased
1049," #44:  Faris Aiman ed ""  sumishanaidu: JUST IN: “The Government of Malaysia is pleased to announce that the Government of the United States of America (US) has…""",pleased,happy,  sumishanaidu: JUST IN: “The Government of Malaysia is pleased to announce that the Government of the United States of America (US) has…,pleased
1050," #45:  Charlie :) ed ""  MKDonsFC: 🗣 ""I'm so proud of the players. I love them to death and I'm so pleased for them.""Paul Tisdale revealed the immense pride h…""",pleased,happy,  MKDonsFC: 🗣 ,pleased
1051," #46:  Mary A. Burns ed ""  LaurenKelada: We are so pleased to launch our study on #siblings of children with #chronicillness We want to celebrate sibs & acknowled…""",pleased,happy,  LaurenKelada: We are so pleased to launch our study on #siblings of children with #chronicillness We want to celebrate sibs & acknowled…,pleased
1052," #47:  Fergal F Davis ed ""  philipjcowley: Very pleased to see this one now in print (well, so of), after working on it for more than four years... https://t.c…""",pleased,happy,"  philipjcowley: Very pleased to see this one now in print (well, so of), after working on it for more than four years... https://t.c…",pleased
1053," #48:  Whitefeather ed "" GMB  piersmorgan I agree with Piers. A company jumping on the lgbt bandwagon. The silent majority are not pleased""",pleased,happy, GMB  piersmorgan I agree with Piers. A company jumping on the lgbt bandwagon. The silent majority are not pleased,pleased
1054," #49:  Marion Steggles ed ""  drcmday: Pleased to have been given the oppounity by the ET to challenge the false statements released by HEE and the Trust  about my…""",pleased,happy,  drcmday: Pleased to have been given the oppounity by the ET to challenge the false statements released by HEE and the Trust  about my…,pleased
1055," #50:  lou bird ed ""  ap_beasley12: I really couldn’t tell u how but somehow I have recently stumbled upon the amazing a that is One Direction so I am plea…""",pleased,happy,  ap_beasley12: I really couldn’t tell u how but somehow I have recently stumbled upon the amazing a that is One Direction so I am plea…,pleased
1056," #51:  Katalin181 ed ""  bbcle: Do you have a minute to spare to #learn some English?Phil's #altogether pleased to be able to explain 'all together' and 'altog…""",pleased,happy,  bbcle: Do you have a minute to spare to #learn some English?Phil's #altogether pleased to be able to explain 'all together' and 'altog…,pleased
1057," #52:  Päivi Kalske ed ""  mooremik1: Pleased to have the oppounity to present the  nokia AirFrame contributed,  OpenComputePrj Accepted openEDGE solution.  Enc…""",pleased,happy,"  mooremik1: Pleased to have the oppounity to present the  nokia AirFrame contributed,  OpenComputePrj Accepted openEDGE solution.  Enc…",pleased
1058," #53:  Delia's Canary Catering ed ""We are pleased to have the very talented  Pianist  Carrie_Odonnell joining us in Delia’s Restaurant and Bar on the following Saturdays- 18th and 25th May. Get in touch on 01603 218705 to find out more...🎹 https://t.co/cV68ZEFosc""",pleased,happy,We are pleased to have the very talented  Pianist  Carrie_Odonnell joining us in Delia’s Restaurant and Bar on the following Saturdays- 18th and 25th May. Get in touch on 01603 218705 to find out more...🎹 https://t.co/cV68ZEFosc,pleased
1059," #54:  CRbirdie ed "" Geaux_Brooke_D  SenBillCassidy  realDonaldTrump  SempraEnergy Mom got stuck by  VP last week. When his motorcade passed in front of her, she gave him the finger. She's in her 70s & I think that was the first time in my memory that she did such a thing. She was quite pleased with herself. 🙋✊""",pleased,happy," Geaux_Brooke_D  SenBillCassidy  realDonaldTrump  SempraEnergy Mom got stuck by  VP last week. When his motorcade passed in front of her, she gave him the finger. She's in her 70s & I think that was the first time in my memory that she did such a thing. She was quite pleased with herself. 🙋✊",pleased
1060," #55:  Robe Archer🌈 ed ""  BCGreens: Congrats  paulmanly Green MP-elect for Nanaimo-Ladysmith! We're so pleased to see another Green MP headed to Ottawa to join  …""",pleased,happy,  BCGreens: Congrats  paulmanly Green MP-elect for Nanaimo-Ladysmith! We're so pleased to see another Green MP headed to Ottawa to join  …,pleased
1061," #56:  🦋 ed ""he ate my p**sy outta nowhere like whaaaat pleased asl 😩""",pleased,happy,he ate my p**sy outta nowhere like whaaaat pleased asl 😩,pleased
1062," #57:  Lawyer Moves ed ""  Sillsnews:  Sillsnews is pleased to announce the addition of eight attorneys, who bring diverse experience to the Firm and our clients.…""",pleased,happy,"  Sillsnews:  Sillsnews is pleased to announce the addition of eight attorneys, who bring diverse experience to the Firm and our clients.…",pleased
1063," #58:  JRC/Alphatron Marine ed ""We are pleased to welcome you at Construction Shipping Industry in Gorinchem, the Netherlands! Visit us at our booth, number L-103. We look forward to see you there! https://t.co/zakRMvgE4y""",pleased,happy,"We are pleased to welcome you at Construction Shipping Industry in Gorinchem, the Netherlands! Visit us at our booth, number L-103. We look forward to see you there! https://t.co/zakRMvgE4y",pleased
1064," #59:  Luz Erika Leyva palacios ed ""  dolpotulku: Dolpo Tulku Rinpoche arrived safely this morning in Europe and we are pleased to invite you to the following dates in the n…""",pleased,happy,  dolpotulku: Dolpo Tulku Rinpoche arrived safely this morning in Europe and we are pleased to invite you to the following dates in the n…,pleased
1065," #60:  Ariel ed "" NanetteKapiM  Stu_Mundel I've been baking bread for about 5 years.  Pleased with the loaves but dinner rolls have thus far eluded me.  They're wonderful on the inside but hard as a rock crust.  Much to learn still.  What a treasure to have your mom's recipe. https://t.co/rkkgJ39zfr""",pleased,happy, NanetteKapiM  Stu_Mundel I've been baking bread for about 5 years.  Pleased with the loaves but dinner rolls have thus far eluded me.  They're wonderful on the inside but hard as a rock crust.  Much to learn still.  What a treasure to have your mom's recipe. https://t.co/rkkgJ39zfr,pleased
1066," #61:  . Hon. Cheshire Cat 🇬🇪 ed "" LastHussar  UKIP I'm very pleased for you.""",pleased,happy, LastHussar  UKIP I'm very pleased for you.,pleased
1067," #62:  Resilience Advisors ed ""Our network is growing & is constantly made stronger through professional alliances involved in high quality & niche Civil Protection activities. Amongst others, we’re really pleased to be working with GIS and software paners IES Solutions as pa of the new #RESILOC programme. https://t.co/KBCqCUEVbi""",pleased,happy,"Our network is growing & is constantly made stronger through professional alliances involved in high quality & niche Civil Protection activities. Amongst others, we’re really pleased to be working with GIS and software paners IES Solutions as pa of the new #RESILOC programme. https://t.co/KBCqCUEVbi",pleased
1068," #63:  Firm Foundation ed ""For God was pleased to have all His fullness dwell in Him,-Colossians 1:19 CSBThe dwelling of your hea leads the dwelling that by which sees you thru. Where are you dwelling before you decide to obey thru?-Galatians 1:15-16 https://t.co/S3FrAuYkJt""",pleased,happy,"For God was pleased to have all His fullness dwell in Him,-Colossians 1:19 CSBThe dwelling of your hea leads the dwelling that by which sees you thru. Where are you dwelling before you decide to obey thru?-Galatians 1:15-16 https://t.co/S3FrAuYkJt",pleased
1069," #64:  Commander 🔪Cobblepot 🐧☂️ ed ""  cumberbatchweb: Benedict and Sophie looking amazing. I love it #MetGala So pleased they went for the theme https://t.co/1dynG0ti2b""",pleased,happy,  cumberbatchweb: Benedict and Sophie looking amazing. I love it #MetGala So pleased they went for the theme https://t.co/1dynG0ti2b,pleased
1070," #65:  South Adelaide FC ed ""We are pleased to reveal senior coach Jarrad Wright has put pen to paper on a contract extension that will keep him at the club through 2020 😁👍📰 | https://t.co/3dEGBqwINp#SouthProud https://t.co/n2NOARSue3""",pleased,happy,We are pleased to reveal senior coach Jarrad Wright has put pen to paper on a contract extension that will keep him at the club through 2020 😁👍📰 | https://t.co/3dEGBqwINp#SouthProud https://t.co/n2NOARSue3,pleased
1071," #66:  Ahmad Ridzwan ed ""  sumishanaidu: JUST IN: “The Government of Malaysia is pleased to announce that the Government of the United States of America (US) has…""",pleased,happy,  sumishanaidu: JUST IN: “The Government of Malaysia is pleased to announce that the Government of the United States of America (US) has…,pleased
1072," #67:  🌼°N°A°R°A°🌼 ed ""  krupnan: ""มีความสุข"" ไม่ได้มีแค่คำว่า ""HAPPY"" นะ😀😁😊 Blissful Cheerful Delighted Ecstatic Elated Festive Glad Gleeful Joyful Joyous Smi…""",pleased,happy,  krupnan: ,pleased
1073," #68:  Schneider, Anthony R ed ""For God was pleased to have all His fullness dwell in Him,-Colossians 1:19 CSBThe dwelling of your hea leads the dwelling that by which sees you thru. Where are you dwelling before you decide to obey thru?-Galatians 1:15-16 https://t.co/uG20mCLZV9""",pleased,happy,"For God was pleased to have all His fullness dwell in Him,-Colossians 1:19 CSBThe dwelling of your hea leads the dwelling that by which sees you thru. Where are you dwelling before you decide to obey thru?-Galatians 1:15-16 https://t.co/uG20mCLZV9",pleased
1074," #69:  Cabbies for Indy 🚕 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺🏴󠁧󠁢󠁷󠁬󠁳󠁿 ed "" YesDayScotland  SaorAlbaPD  AUOBSCOT Sounding good, really pleased to see this band formed, they also look superb. Great idea to go for the blue bonnets and Jacobite shis. Stands more than any other pipe band. Well done  SaorAlbaPD hope you’ll be at #AuobGalashiels""",pleased,happy," YesDayScotland  SaorAlbaPD  AUOBSCOT Sounding good, really pleased to see this band formed, they also look superb. Great idea to go for the blue bonnets and Jacobite shis. Stands more than any other pipe band. Well done  SaorAlbaPD hope you’ll be at #AuobGalashiels",pleased
1075," #70:  Malik Baber Rabbani ed "" babaNagi72  munirahmedap A person asked Hazrat Ali ( May Allah be pleased with him ) that how can we know if tough times are punishment or Aazmaish. He replied if tough times make you closer to Allah, its Aazmaish and if it take away from Allah, its punishment.""",pleased,happy," babaNagi72  munirahmedap A person asked Hazrat Ali ( May Allah be pleased with him ) that how can we know if tough times are punishment or Aazmaish. He replied if tough times make you closer to Allah, its Aazmaish and if it take away from Allah, its punishment.",pleased
1076," #71:  Julie Penny ed "" dr_hick Am sure your mum was pleased to see you and very grateful though.  Frustrating though.""",pleased,happy, dr_hick Am sure your mum was pleased to see you and very grateful though.  Frustrating though.,pleased
1077," #72:  Jbowes2133 ed "" BrownManSpeak  MattWalshBlog Man's Chief and Highest end is to glorify God. God murdered Jesus on the cross and tells us it pleased Him. Clearly what you commented is not truth and therefore a lie about the God who created you. Christians are commanded to follow God's law and justice is a reflection of God.""",pleased,happy, BrownManSpeak  MattWalshBlog Man's Chief and Highest end is to glorify God. God murdered Jesus on the cross and tells us it pleased Him. Clearly what you commented is not truth and therefore a lie about the God who created you. Christians are commanded to follow God's law and justice is a reflection of God.,pleased
1078," #73:  WAGNH ed ""RLC staing to truly fulfill his destiny as the Prince That Was Promised.#CFC https://t.co/bjQEfGtxtq""",pleased,happy,RLC staing to truly fulfill his destiny as the Prince That Was Promised.#CFC https://t.co/bjQEfGtxtq,pleased
1079," #74:  Lawyer Moves ed ""  FoleyHoag: Pleased to welcome restructuring attorneys Alison Bauer and Bill Gray to the firm as paners in our Bankruptcy & Creditors'…""",pleased,happy,  FoleyHoag: Pleased to welcome restructuring attorneys Alison Bauer and Bill Gray to the firm as paners in our Bankruptcy & Creditors'…,pleased
1080," #75:  Kalisa Eric ed ""  dreynders: Very pleased to exchange with my Rwandan counterpa 🇷🇼  rsezibera in the margins of #EBS2019 on #EU-#AU relations as well a…""",pleased,happy,  dreynders: Very pleased to exchange with my Rwandan counterpa 🇷🇼  rsezibera in the margins of #EBS2019 on #EU-#AU relations as well a…,pleased
1081," #76:  Luz Elena Lopez ed ""  bbcle: Do you have a minute to spare to #learn some English?Phil's #altogether pleased to be able to explain 'all together' and 'altog…""",pleased,happy,  bbcle: Do you have a minute to spare to #learn some English?Phil's #altogether pleased to be able to explain 'all together' and 'altog…,pleased
1082," #77:  katie ed "" Kate18660449 Looks pretty pleased with herself""",pleased,happy, Kate18660449 Looks pretty pleased with herself,pleased
1083," #78:  Serena KMadden ed ""  FPH: This new statement from  FDS_RCS considers how dentists and oral health professionals can engage in broader health promotion. We s…""",pleased,happy,  FPH: This new statement from  FDS_RCS considers how dentists and oral health professionals can engage in broader health promotion. We s…,pleased
1084," #79:  Zach Stepek ed "" leftlane  realjefflarge  Shpigford Testing out the Rode RodeCaster Pro board and interface. Built in exciter and noise gate on all four of the Aphex pres. Very pleased so far.""",pleased,happy, leftlane  realjefflarge  Shpigford Testing out the Rode RodeCaster Pro board and interface. Built in exciter and noise gate on all four of the Aphex pres. Very pleased so far.,pleased
1085," #80:  Kate Jean ed ""  Journotopia: Official Reuters statement:“We are enormously pleased that Myanmar has released our courageous repoers, Wa Lone and Ky…""",pleased,happy,"  Journotopia: Official Reuters statement:“We are enormously pleased that Myanmar has released our courageous repoers, Wa Lone and Ky…",pleased
1086," #81:  Callum Tuck ed ""  RewindNorwich: Thanks all, very pleased so many of you #NCFC people enjoyed it or cried. 😭1.30 is where my throat gets a bit lumpy: F…""",pleased,happy,"  RewindNorwich: Thanks all, very pleased so many of you #NCFC people enjoyed it or cried. 😭1.30 is where my throat gets a bit lumpy: F…",pleased
1087," #82:  Twopaw ed "" Poppyshedgehogs  HedgehogCabin Pleased to be, Ann and Poppy Crew and Hedgelodgers all! Sending lots of positive thoughts and a spare flock of Angel Mouses to mind umbrellas, warming heat lamps and reminders to eat and drink as needed; both hedgefolk and twoleggers, too! ^_^""",pleased,happy," Poppyshedgehogs  HedgehogCabin Pleased to be, Ann and Poppy Crew and Hedgelodgers all! Sending lots of positive thoughts and a spare flock of Angel Mouses to mind umbrellas, warming heat lamps and reminders to eat and drink as needed; both hedgefolk and twoleggers, too! ^_^",pleased
1088," #83:  David Melia RNLD RGN MSc ed ""  MidYorkshireNHS: As pa of My Nursing and Midwifery Week (#MYNaM) we're pleased to introduce you to Irene who's here to tell us what i…""",pleased,happy,  MidYorkshireNHS: As pa of My Nursing and Midwifery Week (#MYNaM) we're pleased to introduce you to Irene who's here to tell us what i…,pleased
1089," #84:  Sumant Sridharan ed ""  HomeLightApp: HomeLight is pleased to announce that Julie Wyss of San Jose, CA, is the first real estate agent to close over $1 million…""",pleased,happy,"  HomeLightApp: HomeLight is pleased to announce that Julie Wyss of San Jose, CA, is the first real estate agent to close over $1 million…",pleased
1090," #85:  Cllr Andy Cooper ed ""Pleased to be re-elected yo #Angmering to continue to represent all residents and the district for the next four years. Thank you to everyone who voted for me https://t.co/dG1O1FxDXs""",pleased,happy,Pleased to be re-elected yo #Angmering to continue to represent all residents and the district for the next four years. Thank you to everyone who voted for me https://t.co/dG1O1FxDXs,pleased
1091," #86:  Keitus Promo ed ""  EzekielMutua:  InfoKfcb is pleased to paner with    YouTube and  Google to celebrate young people who have used their creativity to p…""",pleased,happy,  EzekielMutua:  InfoKfcb is pleased to paner with    YouTube and  Google to celebrate young people who have used their creativity to p…,pleased
1092," #87:  moorsman ed ""  karenspenley: I’m pleased to say this happened a lot this weekend. As we enter BBQ season, what will you be talking about?   The most i…""",pleased,happy,"  karenspenley: I’m pleased to say this happened a lot this weekend. As we enter BBQ season, what will you be talking about?   The most i…",pleased
1093," #88:  Andy Byrne ed "" fencingfamily  TruePhysioUK Well done Lucy-Belle! I’m so pleased the point control is even better...huge benefit to all that hard work strengthening that you did! 🙂""",pleased,happy, fencingfamily  TruePhysioUK Well done Lucy-Belle! I’m so pleased the point control is even better...huge benefit to all that hard work strengthening that you did! 🙂,pleased
1094," #89:  Pauline Pugh ed "" OscarRomeo1268  Dominic65635560  InterceptorsTV  WYP_1965  kenr2112 Incredible footage. Pleased he was jailed. How can anyone be so stupid.""",pleased,happy, OscarRomeo1268  Dominic65635560  InterceptorsTV  WYP_1965  kenr2112 Incredible footage. Pleased he was jailed. How can anyone be so stupid.,pleased
1095," #90:  Izyan ed ""  sumishanaidu: JUST IN: “The Government of Malaysia is pleased to announce that the Government of the United States of America (US) has…""",pleased,happy,  sumishanaidu: JUST IN: “The Government of Malaysia is pleased to announce that the Government of the United States of America (US) has…,pleased
1096," #91:  Wanjohi KABUKURU ed ""  ibrahimthiaw: I was pleased to speak today on behalf of the  UNCCD and to moderate a session at the #G7Environment Ministers meeting in…""",pleased,happy,  ibrahimthiaw: I was pleased to speak today on behalf of the  UNCCD and to moderate a session at the #G7Environment Ministers meeting in…,pleased
1097," #92:  Mark Paluch 👨‍💻&🎹 ed ""  john_blum: Pleased to announce the 1.0 GA of  springboot for  ApacheGeode and  PivotalGemFire https://t.co/SXd6B5omSD  springcentral""",pleased,happy,  john_blum: Pleased to announce the 1.0 GA of  springboot for  ApacheGeode and  PivotalGemFire https://t.co/SXd6B5omSD  springcentral,pleased
1098," #93:  M L Young ed "" BBCNews I’m so pleased to hear that although everyone wouldn’t agree. We have had tragic happenings in the past. However, I feel the point being is teenagers could be doing a colossal lot worse.""",pleased,happy," BBCNews I’m so pleased to hear that although everyone wouldn’t agree. We have had tragic happenings in the past. However, I feel the point being is teenagers could be doing a colossal lot worse.",pleased
1099," #94:  ptmx. ed ""  krupnan: ""มีความสุข"" ไม่ได้มีแค่คำว่า ""HAPPY"" นะ😀😁😊 Blissful Cheerful Delighted Ecstatic Elated Festive Glad Gleeful Joyful Joyous Smi…""",pleased,happy,  krupnan: ,pleased
1100," #95:  Jack ed ""  LorraineWillis1: My latest #watercolour #painting is finished, I’m pleased with the final result - prints will be available for sale so…""",pleased,happy,"  LorraineWillis1: My latest #watercolour #painting is finished, I’m pleased with the final result - prints will be available for sale so…",pleased
1101," #1:  yssa ⍟⃝ ed ""BRIE IS SO LUCKY DAMNNNNN https://t.co/bIEbUr329Y""",lucky,happy,BRIE IS SO LUCKY DAMNNNNN https://t.co/bIEbUr329Y,lucky
1102," #2:  kehlani lovebot ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1103," #3:  Michael ✏ ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1104," #4:  marie ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1105," #5:  syd ✨ ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1106," #6:  神奈川 ed "" kandorisagawa01  yutabon_lucky 学校=勉強ってなってる時点でやばいですね。勉強も確かに大事ですけど、それ以上に社会性をしっかり身に付けて貰わないと仕事っていう土俵で苦労するって事に気付いて欲しいですね。それよりも親が気付かせていかないといけないですけど。""",lucky,happy, kandorisagawa01  yutabon_lucky 学校=勉強ってなってる時点でやばいですね。勉強も確かに大事ですけど、それ以上に社会性をしっかり身に付けて貰わないと仕事っていう土俵で苦労するって事に気付いて欲しいですね。それよりも親が気付かせていかないといけないですけど。,lucky
1107," #7:  glaex ed ""  _mariagail: Kita kaklase next school year, sana di mabago friendship natin. Coz I'm lucky to be friends with u 🖤 good luck sa 2nd year…""",lucky,happy,"  _mariagail: Kita kaklase next school year, sana di mabago friendship natin. Coz I'm lucky to be friends with u 🖤 good luck sa 2nd year…",lucky
1108," #8:  👑 Kim Ganley 👑 ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1109," #9:  nah-dee-uh ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1110," #10:  Gavin Sowa ed ""Feeling totally inspired after seeing the  svucsf family get together for the spring social! So lucky to have guest speakers  Gurpreet2015, Dr. Peggy Knudson, and Stephen Evans. Also, met members of the incoming class! The future of the #UCSF #Veterans is bright! https://t.co/g5p0tDbB9Y""",lucky,happy,"Feeling totally inspired after seeing the  svucsf family get together for the spring social! So lucky to have guest speakers  Gurpreet2015, Dr. Peggy Knudson, and Stephen Evans. Also, met members of the incoming class! The future of the #UCSF #Veterans is bright! https://t.co/g5p0tDbB9Y",lucky
1111," #11:  George Keramidas ed "" Bevvyz  the_authorist  Andy_Botts This week... We'll be lucky to see another this year..""",lucky,happy, Bevvyz  the_authorist  Andy_Botts This week... We'll be lucky to see another this year..,lucky
1112," #12:  Shankly’s best ed "" scouse_nerd I’m kind of pleased for them in the same way I would be pleased for anyone I didn’t know. Lucky kid will never know the hardships most people face, unless his Uncle introduces him to Villa 😂""",lucky,happy," scouse_nerd I’m kind of pleased for them in the same way I would be pleased for anyone I didn’t know. Lucky kid will never know the hardships most people face, unless his Uncle introduces him to Villa 😂",lucky
1113," #13:  Nightlock (Jules) ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1114," #14:  1010 ed "" lucky_mink せんきゅー！""",lucky,happy, lucky_mink せんきゅー！,lucky
1115," #15:  Kristyn Harris ed ""  AddisHome: It's #NationalGardeningWeek and we are offering 2 lucky winners a chance to win this bumper set. To enter simply like and re…""",lucky,happy,  AddisHome: It's #NationalGardeningWeek and we are offering 2 lucky winners a chance to win this bumper set. To enter simply like and re…,lucky
1116," #16:  ぁーさん ed "" leo616571505  kirikairiserena  yutabon_lucky https://t.co/oNY64A4cRj""",lucky,happy, leo616571505  kirikairiserena  yutabon_lucky https://t.co/oNY64A4cRj,lucky
1117," #17:  PE-Y ed "" yutabon_lucky お前が学校行かないのは勝手だが周りに不登校を勧めるんじゃない""",lucky,happy, yutabon_lucky お前が学校行かないのは勝手だが周りに不登校を勧めるんじゃない,lucky
1118," #18:  R ed ""  OPPAMOTOPH: [A SMALL GIVEAWAY]Open to all PH FANDOMS ( Army, Exo-L, Carat, Once, Carat, Monbebe, iGOT7, Stay and many moreee )3 Luc…""",lucky,happy,"  OPPAMOTOPH: [A SMALL GIVEAWAY]Open to all PH FANDOMS ( Army, Exo-L, Carat, Once, Carat, Monbebe, iGOT7, Stay and many moreee )3 Luc…",lucky
1119," #19:  BEasy✨ ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1120," #20:  黒蜜P  ガチャ禁 ed "" yutabon_lucky 学校に行きなさいそれの方が将来のためだよあなたが学校に行かないと、学校の教師並びに市の教育委員会が動き出すかもしれませんよ""",lucky,happy, yutabon_lucky 学校に行きなさいそれの方が将来のためだよあなたが学校に行かないと、学校の教師並びに市の教育委員会が動き出すかもしれませんよ,lucky
1121," #21:  Tino ed "" SowetanLIVE Wow he's so lucky 😚😚😚😚""",lucky,happy, SowetanLIVE Wow he's so lucky 😚😚😚😚,lucky
1122," #22:  しのぶ（らき） ed ""  FlyTeamNews: カタール航空、エコノミーで新たな機内食サービス「Quisine」導入 https://t.co/z1ihOXB01L""",lucky,happy,  FlyTeamNews: カタール航空、エコノミーで新たな機内食サービス「Quisine」導入 https://t.co/z1ihOXB01L,lucky
1123," #23:  Ulises Loria (17 days until B-Day) ed "" AgentFebs Lucky you! I saw 3 jewels, Destiny, GTA V and Battlefield hardline. I prefer BF4 tho.""",lucky,happy," AgentFebs Lucky you! I saw 3 jewels, Destiny, GTA V and Battlefield hardline. I prefer BF4 tho.",lucky
1124," #24:  ガッデム ed "" makiko_hasegawa  hiroshiba1129  yutabon_lucky  kenichiromogi 宿題したくないからという理由で登校拒否しかもそれを正当化学歴社会のこの国で人生を棒に振る狂った子ですよねそれを正当化される親、周りの人間...""",lucky,happy, makiko_hasegawa  hiroshiba1129  yutabon_lucky  kenichiromogi 宿題したくないからという理由で登校拒否しかもそれを正当化学歴社会のこの国で人生を棒に振る狂った子ですよねそれを正当化される親、周りの人間...,lucky
1125," #25:  KillThisLove🔪💔 ed ""  TimesSquareNYC: The influential all-female #kpop group #BLACKPINK [ ygofficialblink] won the Music  shoyaward! Lucky for us, we've be…""",lucky,happy,"  TimesSquareNYC: The influential all-female #kpop group #BLACKPINK [ ygofficialblink] won the Music  shoyaward! Lucky for us, we've be…",lucky
1126," #26:  Manan Anduk ed ""MonDay is Money Day. Never hate the first day of your lucky week. Say: “I love Monday with all of its goodness.”""",lucky,happy,MonDay is Money Day. Never hate the first day of your lucky week. Say: “I love Monday with all of its goodness.”,lucky
1127," #27:  Y A R I S ed ""  TheMob: The Mob #Summer2K19 GIVEAWAY ☀️🏖FOLLOW:👉  Mako👉  Froste 👉  CIassifyMob 👉  TristanGHill 👉  AvalancheTwitch and RE…""",lucky,happy,  TheMob: The Mob #Summer2K19 GIVEAWAY ☀️🏖FOLLOW:👉  Mako👉  Froste 👉  CIassifyMob 👉  TristanGHill 👉  AvalancheTwitch and RE…,lucky
1128," #28:  Just a Rat ed ""  Garrett_Watts:  kathygriffin You absolutely murdered that (duh) and the shoys and everyone who was in attendance was very lucky to ha…""",lucky,happy,  Garrett_Watts:  kathygriffin You absolutely murdered that (duh) and the shoys and everyone who was in attendance was very lucky to ha…,lucky
1129," #29:  Sandra ed "" cozyboicris Lucky 😫""",lucky,happy, cozyboicris Lucky 😫,lucky
1130," #30:  Shavneet Singh ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1131," #31:  fogシすぅ ed ""  SuperStarPLEDIS: #SuperStarPLEDIS #EVENTIn May, get aists' #hand_drawn_cards and celebrate #100days with SSP! ٩(๑❛ᴗ❛๑)۶1. Get NU'…""",lucky,happy,"  SuperStarPLEDIS: #SuperStarPLEDIS #EVENTIn May, get aists' #hand_drawn_cards and celebrate #100days with SSP! ٩(๑❛ᴗ❛๑)۶1. Get NU'…",lucky
1132," #32:  SV 🦋 ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
1133," #33:  Carol Borgerding ed ""  CarolBorgerdin1:  C_3C_3  RealMattCouch We can’t let them ruin our Presidents reputation.  He is for the PEOPLE, not for the DEMS that…""",lucky,happy,"  CarolBorgerdin1:  C_3C_3  RealMattCouch We can’t let them ruin our Presidents reputation.  He is for the PEOPLE, not for the DEMS that…",lucky
1134," #34:  K°inks 🎨 ed ""  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa""",lucky,happy,  nazire_imeri: Y'all are lucky my girl Harper isn't there. She would stunt on all of y'all #MetGala https://t.co/KaNISyjIoa,lucky
